lr: 0.001
epochs: 100
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 32
gpu: 0
max_grad_norm: 0.1
mlp_ratio: 1
dropout: 0.0
slice_num: 64
eval: 0
save_name: 1
data_path: ./data
log_name: 1.txt

Epoch	Train Loss	Test Error
1	17317.176812	1976.456084
2	1829.995171	1593.046459
3	1754.552550	1955.499679
4	1914.795102	1881.560576
5	2184.774712	2670.817118
6	2492.756589	3312.897516
7	2908.703512	3662.668154
8	3249.027055	3883.513271
9	3666.511170	4660.169529
10	4013.822393	4593.823640
11	4270.547053	5029.208491
12	4646.876039	5641.159656
13	4956.371356	7161.076050
14	5002.504592	6770.955942
15	5255.295345	6451.091064
16	5202.112308	6684.139360
17	5306.247396	6675.078369
18	5000.177272	6191.476699
19	4794.367287	5008.082805
20	4579.794067	4977.366218
21	4497.742309	5847.027615
22	4298.786832	5735.770720
23	4188.370338	4867.974678
24	4108.889760	5501.495386
25	3833.828407	4127.227493
26	3548.688142	3658.187729
27	3325.921105	3879.706821
28	2986.339316	3577.574070
29	2704.124134	2869.683629
30	2342.887759	2081.874056
31	1842.479929	1463.794649
32	1432.125362	887.115283
33	1128.031884	407.118392
34	1037.221808	378.851646
35	986.917799	388.155539
36	977.139897	380.936852
37	973.246386	386.417745
38	952.805901	359.560736
39	947.275882	327.040895
40	943.230810	330.392126
41	939.410564	286.393729
42	930.865997	312.064559
43	927.065748	286.869951
44	926.567643	279.280461
45	917.357347	249.979042
46	913.118187	230.525427
47	912.361432	247.977572
48	902.965964	235.182508
49	899.061878	266.809493
50	894.367844	220.550212
51	888.299065	239.389536
52	883.329446	188.847000
53	877.428946	205.576216
54	876.582230	206.819917
55	869.990246	186.995436
56	862.162168	167.416858
57	859.259996	177.152095
58	855.079115	186.067432
59	849.107957	143.992566
60	844.840929	145.487311
61	840.619606	158.906837
62	837.589396	159.859617
63	831.184793	166.927281
64	828.693079	156.405581
65	822.695755	111.563067
66	818.147617	110.336826
67	815.679658	116.959374
68	811.408290	104.075069
69	807.594245	109.866957
70	803.513538	97.238113
71	799.726410	93.946227
72	796.643816	80.645211
73	793.814465	87.256217
74	791.997776	73.117738
75	788.119240	68.558366
76	784.960591	63.164591
77	782.153038	62.516690
78	780.155966	61.556004
79	778.088814	61.249023
80	775.281402	56.241211
81	773.566237	52.156480
82	773.688459	51.058633
83	769.943672	46.953958
84	769.203597	46.882239
85	767.579777	44.349140
86	765.882182	40.537263
87	764.940925	38.526606
88	763.330987	36.455456
89	762.517810	36.401823
90	761.833458	36.303013
91	761.551161	34.795293
92	760.491853	33.610311
93	759.916877	32.682206
94	759.536052	31.513620
95	758.903958	31.229540
96	758.602753	30.749383
97	758.341166	30.242263
98	758.210712	30.050973
99	757.987886	29.877995
100	757.925463	29.836459
