lr: 0.001
epochs: 300
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 8
gpu: 0
max_grad_norm: 0.1
mlp_ratio: 1
dropout: 0.0
slice_num: 64
eval: 0
save_name: 14
data_path: ./data
log_name: 14

Epoch	Train Loss	Test Error
1	0.945954	1.019912
2	0.916217	1.030707
3	0.886127	0.874426
4	0.870361	0.929769
5	0.866109	0.854618
6	0.863649	0.818859
7	0.856576	0.846431
8	0.853868	0.867071
9	0.849434	0.827271
10	0.848596	0.829648
11	0.848390	0.843153
12	0.820778	0.350301
13	0.205944	0.129332
14	0.146526	0.130238
15	0.138580	0.113477
16	0.128811	0.112496
17	0.122740	0.155309
18	0.123011	0.125261
19	0.119583	0.110435
20	0.117333	0.149814
21	0.116411	0.100041
22	0.115186	0.149167
23	0.117117	0.114514
24	0.113575	0.104084
25	0.111790	0.117369
26	0.109905	0.132735
27	0.112729	0.105046
28	0.109833	0.104358
29	0.108622	0.144809
30	0.108833	0.117719
31	0.109915	0.110743
32	0.107881	0.106205
33	0.108510	0.101308
34	0.106962	0.097377
35	0.115719	0.124328
36	0.104712	0.104321
37	0.107320	0.100693
38	0.103581	0.099772
39	0.105506	0.116911
40	0.102414	0.102206
41	0.099575	0.106872
42	0.098843	0.102968
43	0.099124	0.095192
44	0.096082	0.103792
45	0.619262	0.116723
46	0.114783	0.108268
47	0.098639	0.103228
48	0.097928	0.093172
49	0.092949	0.118608
50	0.092879	0.123375
51	0.094433	0.109079
52	0.515168	0.840269
53	0.744975	0.493851
54	0.262459	0.167494
55	0.190617	0.128920
56	0.160296	0.133266
57	0.131314	0.101817
58	0.106340	0.091238
59	0.104599	0.099782
60	0.100689	0.095642
61	0.103352	0.089588
62	0.100743	0.090754
63	0.099541	0.121523
64	0.097409	0.095514
65	0.104082	0.092181
66	0.096329	0.099114
67	0.094681	0.100143
68	0.095917	0.113792
69	0.097512	0.111863
70	0.097104	0.095048
71	0.094773	0.090749
72	0.093790	0.087971
73	0.093512	0.098121
74	0.094794	0.095109
75	0.092923	0.217875
76	0.092433	0.092583
77	0.093826	0.093988
78	0.092992	0.096064
79	0.104954	0.106150
80	0.094158	0.118933
81	0.098333	0.130950
82	0.112273	0.097314
83	0.102116	0.105003
84	0.100094	0.089180
85	0.095040	0.092004
86	0.094239	0.092467
87	0.105204	0.094588
88	0.096614	0.107796
89	0.104711	0.108779
90	0.100275	0.096142
91	0.099876	0.091008
92	0.091353	0.094832
93	0.094757	0.101766
94	0.093852	0.096346
95	0.178132	0.227512
96	0.114697	0.091699
97	0.094449	0.088319
98	0.089464	0.092740
