lr: 1e-05
epochs: 100
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 32
gpu: 0
max_grad_norm: 0.1
mlp_ratio: 1
dropout: 0.0
slice_num: 64
eval: 0
resume: 0
save_name: 5
data_path: ./data
log_name: 5
resume_name: 

Epoch	Train Loss	Test Error
1	64.576213	770.925444
2	42.092289	453.759739
3	21.724784	214.375707
4	8.211987	57.074935
5	2.125198	19.852891
6	0.895533	9.800565
7	0.533465	6.589117
8	0.402162	5.030649
9	0.331978	4.041635
10	0.279276	3.400059
11	0.252526	2.954622
12	0.228843	2.595334
13	0.211469	2.387754
14	0.189283	2.147545
15	0.189667	2.042244
16	0.183971	1.833026
17	0.173447	1.763580
18	0.173851	1.884436
19	0.172276	1.671210
20	0.170157	1.647539
21	0.167766	1.650992
22	0.168366	1.643725
23	0.170295	1.679525
24	0.175000	1.737642
25	0.172922	1.678645
26	0.175071	1.675910
27	0.173538	1.651500
28	0.175944	2.013043
29	0.180854	1.759663
30	0.178148	1.825153
31	0.175922	1.824269
32	0.175700	1.623904
33	0.169639	1.797006
34	0.175326	1.643343
35	0.172160	1.539976
36	0.169096	1.637698
37	0.174353	1.931465
38	0.171884	1.635221
39	0.170558	1.418601
40	0.170562	1.608816
41	0.165476	1.544585
42	0.167569	1.491461
43	0.161123	1.554535
44	0.160622	1.636854
45	0.163276	1.576730
46	0.158727	1.541671
47	0.151686	1.379654
48	0.156311	1.655979
49	0.153242	1.501772
50	0.151909	1.368493
51	0.151906	1.339241
52	0.151242	1.265917
53	0.146128	1.435739
54	0.142685	1.239094
55	0.141803	1.192250
56	0.140925	1.169417
57	0.141881	1.215978
58	0.136191	1.318238
59	0.135941	1.058414
60	0.133363	0.995535
61	0.131015	1.004152
62	0.131297	1.018866
63	0.129512	0.985763
64	0.130018	1.111052
65	0.123174	1.047641
66	0.123952	0.987311
67	0.122992	0.975106
68	0.121310	0.896823
69	0.119825	0.968680
70	0.119783	0.939039
71	0.116999	0.893426
72	0.115621	0.850071
73	0.117672	0.844499
74	0.114716	0.845431
75	0.114313	0.842386
76	0.110921	0.838871
77	0.115269	0.814719
78	0.110287	0.796961
79	0.110865	0.800746
80	0.109953	0.786101
81	0.108940	0.775964
82	0.109147	0.777704
83	0.108629	0.763279
84	0.108860	0.762103
85	0.109726	0.758287
86	0.111307	0.752284
87	0.106791	0.750535
88	0.106257	0.749396
89	0.107115	0.745323
90	0.107035	0.743075
91	0.108655	0.740274
92	0.108029	0.738272
93	0.109582	0.736743
94	0.106932	0.735904
95	0.109338	0.734996
96	0.107316	0.734035
97	0.105030	0.733645
98	0.109493	0.733053
99	0.105558	0.732934
100	0.108981	0.732912
