lr: 0.001
epochs: 500
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 32
gpu: 0
max_grad_norm: 0.1
mlp_ratio: 1
dropout: 0.0
slice_num: 64
eval: 0
resume: 0
save_name: 7
data_path: ./data
log_name: 7
resume_name: 

Epoch	Train Loss	Test Error
1	1.999321	3.691136
2	0.279295	3.551231
3	0.252501	2.655300
4	0.241351	2.692946
5	0.235285	2.591263
6	0.233927	2.431031
7	0.236112	2.515238
8	0.236588	2.923708
9	0.243157	2.303055
10	0.257250	2.805307
11	0.247728	2.725891
12	0.257161	2.959903
13	0.257811	2.800159
14	0.264457	3.251192
15	0.273984	2.814265
16	0.277322	3.797318
17	0.293614	3.635073
18	0.295713	3.401553
19	0.307539	3.076408
20	0.312046	3.110672
21	0.331131	3.691480
22	0.306907	3.696319
23	0.333884	3.923781
24	0.340670	3.684178
25	0.351999	4.761874
26	0.363576	4.460177
27	0.383613	4.798316
28	0.376372	4.342357
29	0.399900	4.796662
30	0.395527	3.453792
31	0.398923	5.686082
32	0.401663	4.360842
33	0.387184	5.257594
34	0.385366	4.658619
35	0.400793	5.288683
36	0.415580	5.366324
37	0.418880	4.201558
38	0.404047	4.928581
39	0.430126	5.600481
40	0.424577	6.660290
41	0.425960	5.475396
42	0.405839	4.602129
43	0.422018	4.972508
44	0.431699	6.049478
45	0.418534	4.739156
46	0.423849	4.140200
47	0.407892	7.952225
48	0.414181	6.085974
49	0.432736	4.536713
50	0.421570	4.570707
51	0.407607	4.573687
52	0.415048	4.885041
53	0.394531	5.179192
54	0.418342	5.876139
55	0.398709	5.733373
56	0.415303	6.092079
57	0.418002	4.827698
58	0.396691	5.054755
59	0.386519	5.368226
60	0.413715	5.093959
61	0.390261	4.454649
62	0.391406	3.463668
63	0.384757	4.892239
64	0.373425	4.726684
65	0.378071	3.840573
66	0.355532	4.112880
67	0.335318	3.656516
68	0.296128	3.212633
69	0.246166	1.810914
70	0.197813	1.733984
71	0.168723	1.512200
72	0.165798	1.557235
73	0.154065	1.361451
74	0.153279	1.565673
75	0.148893	1.193093
76	0.144748	1.282859
77	0.143995	1.205954
78	0.135605	0.999805
79	0.135665	0.986267
80	0.135079	1.200121
81	0.127540	0.947811
82	0.121888	0.866357
83	0.122064	0.836376
84	0.121721	0.783234
85	0.112617	0.704978
86	0.111067	0.755534
87	0.109855	0.689008
88	0.108652	0.782914
89	0.111624	0.673367
90	0.106288	0.718534
91	0.108366	0.684634
92	0.109376	0.614360
93	0.106887	0.728430
94	0.107689	0.703269
95	0.106941	0.653821
96	0.108304	0.663893
97	0.112071	0.670116
98	0.108930	0.644766
99	0.108661	0.622316
100	0.110411	0.695286
101	0.111812	0.669430
102	0.112730	0.769557
103	0.110533	0.791386
104	0.110639	0.771591
105	0.109968	0.691412
106	0.112965	0.758834
107	0.112967	0.679707
108	0.112405	0.677288
109	0.109648	0.729899
110	0.111543	0.700123
111	0.109619	0.714273
112	0.108757	0.822683
113	0.113943	0.811651
114	0.113900	0.728028
115	0.109870	0.745448
116	0.111662	0.708926
117	0.108281	0.650232
118	0.109931	0.715050
119	0.113004	0.848717
120	0.112595	0.826985
121	0.113180	0.789620
122	0.110727	0.658969
123	0.111103	0.655323
124	0.112199	0.775940
125	0.114902	0.669963
126	0.112376	0.755382
127	0.113321	0.793352
128	0.114088	0.795702
129	0.114785	0.995547
130	0.112117	0.730593
