CosineAnnealingLR
lr: 0.0005
epochs: 100
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 16
n_heads: 16
batch_size: 16
gpu: 0
max_grad_norm: 0.1
mlp_ratio: 1
dropout: 0.0
slice_num: 64
eval: 0
save_name: RC_Transolver
data_path: ./data
log_name: train_log1.txt

Epoch	Train Loss	Test Error
1	27.097631	41.828571
2	29.991599	41.366951
3	31.111123	42.350090
4	34.467301	41.293229
5	32.865378	42.127422
6	33.932457	41.822999
7	35.889528	41.703288
8	34.704181	41.460041
9	33.492932	41.534181
10	33.875406	41.061348
11	33.437048	41.865464
12	34.641675	41.186425
13	35.050516	42.107767
14	37.713543	42.599943
15	39.149487	43.117018
16	40.303665	42.789608
17	37.949170	42.604174
18	36.224448	42.247111
19	36.730669	42.270418
20	36.993188	42.264045
21	37.703519	41.904265
22	38.663711	42.244333
23	39.394764	43.248537
24	40.159454	43.025022
25	38.634492	42.982431
26	39.503231	43.516326
27	41.416091	43.374175
28	40.756057	42.864513
29	40.211354	43.320485
30	37.672840	44.118811
31	29.986328	44.276809
32	24.089939	44.397184
33	25.822691	44.439699
34	28.966369	40.951742
35	38.141497	41.163511
36	38.021893	42.018906
37	37.405704	42.120777
38	39.146644	42.008349
39	39.253410	42.640362
40	39.620250	43.135722
41	39.120246	42.739418
42	38.637941	42.540550
43	40.690405	42.078532
44	39.170250	42.263398
45	40.769813	42.966668
46	39.934952	43.177136
47	42.860231	43.346687
48	41.196063	43.478281
49	42.138879	43.555666
50	41.848271	44.123223
51	42.358086	43.660466
52	41.675721	43.955134
53	38.749705	43.122742
54	32.257072	43.332251
55	36.539423	43.297551
56	25.583774	44.485656
57	27.811489	44.535393
58	27.727125	45.082093
59	24.964025	44.518727
60	26.227226	44.810420
61	20.215542	44.828731
62	18.968789	45.221860
63	19.582328	45.674184
64	20.558258	45.694144
65	16.275253	45.929936
66	15.571983	46.004038
67	16.231854	45.466471
68	40.372942	43.574218
69	40.205981	44.132672
70	38.695174	43.421097
71	39.932240	43.480206
72	40.208885	43.378537
73	39.933093	42.403310
74	41.411738	43.072059
75	40.644541	42.538238
76	40.355370	44.793600
77	40.572931	42.603309
78	41.370938	43.753438
79	40.804348	44.097876
80	40.658259	42.482217
81	38.992734	44.041972
82	42.604018	44.913655
83	39.513385	43.411270
84	41.485059	43.301816
85	39.396810	44.132397
86	41.500836	43.159595
87	40.328670	43.172771
88	42.240578	43.501623
89	41.399785	45.608197
90	39.289342	43.459210
91	42.153777	43.931144
92	39.939692	44.096061
93	31.673501	43.955180
94	38.626909	45.013155
95	36.638503	45.763915
96	35.400447	45.125209
97	35.267091	44.048646
98	35.242685	45.738588
99	31.076571	44.355475
100	28.965412	46.159215
