lr: 0.0003
epochs: 500
weight_decay: 3e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 64
gpu: 0
max_grad_norm: 0.3
mlp_ratio: 2
dropout: 0.1
slice_num: 64
eval: 0
resume: 0
save_name: 10
data_path: ./data
log_name: train_log10
resume_name: 

Epoch	Train Loss	Test Error
1	8.587178	3.285011
2	0.342718	1.772697
3	0.241638	1.362531
4	0.191480	1.137346
5	0.173491	1.005750
6	0.161882	0.897337
7	0.145817	0.892504
8	0.136076	0.781662
9	0.133689	0.772814
10	0.129948	0.726509
11	0.128750	0.694846
12	0.125624	0.655916
13	0.118828	0.653204
14	0.118535	0.663652
15	0.118385	0.670201
16	0.119340	0.671077
17	0.115738	0.653194
18	0.120856	0.631995
19	0.123148	0.679758
20	0.124808	0.680749
21	0.124840	0.634698
22	0.125848	0.696655
23	0.128721	0.760573
24	0.133093	0.735779
25	0.137247	0.694229
26	0.133975	0.736932
27	0.138082	0.724031
28	0.143127	0.794890
29	0.144381	0.790430
30	0.151726	0.775586
31	0.153030	0.942976
32	0.155736	1.010403
33	0.159007	0.950391
34	0.165677	1.003023
35	0.166573	0.999896
36	0.171510	1.089814
37	0.175985	0.921526
38	0.173388	1.166440
39	0.192673	1.155571
40	0.190113	0.941379
41	0.199558	1.251252
42	0.195231	1.154779
43	0.206730	1.303423
44	0.218547	1.076278
45	0.217344	1.321522
46	0.225546	1.125790
47	0.225665	1.174206
48	0.240942	1.715318
49	0.238150	1.621434
50	0.238521	1.884891
51	0.261537	1.309609
52	0.259995	1.418314
53	0.257419	1.608020
54	0.259143	1.782196
55	0.265721	1.388512
56	0.275888	1.564476
57	0.291622	1.654470
58	0.295862	1.957290
59	0.280513	1.833596
60	0.306060	1.531612
61	0.303597	1.967127
62	0.302868	1.771324
63	0.308247	1.983044
64	0.323579	1.800080
65	0.308150	1.849090
66	0.322150	2.052398
67	0.314370	2.071503
68	0.323324	2.466665
69	0.334070	1.739754
70	0.335573	1.999332
71	0.335452	1.896744
72	0.353167	2.321412
73	0.342095	2.030054
74	0.358786	1.748977
75	0.348897	2.687046
76	0.360471	1.861573
77	0.353168	2.323249
78	0.352603	2.480348
79	0.340191	1.946501
80	0.365263	2.145144
81	0.349500	2.221954
82	0.356660	2.207215
83	0.347073	2.670228
84	0.349337	1.903988
85	0.364765	2.248293
86	0.370556	2.063656
87	0.366531	2.685804
88	0.370386	1.996072
89	0.346523	2.588855
90	0.360079	1.710463
91	0.350706	2.253055
92	0.365387	2.066637
93	0.384460	1.760874
94	0.354699	1.960071
95	0.350338	2.272929
96	0.346558	2.037468
97	0.362298	2.274800
98	0.354705	2.873189
99	0.343718	2.271146
100	0.351771	2.052422
101	0.333782	2.245303
102	0.345143	2.765827
103	0.350903	1.676385
104	0.347950	2.291757
105	0.352671	1.723224
106	0.339404	2.362606
107	0.337879	2.044015
108	0.363131	1.659369
109	0.360518	2.237865
110	0.332039	2.171806
111	0.349203	1.919539
112	0.329483	2.235354
113	0.341434	2.344313
114	0.345401	2.198280
115	0.317582	1.905470
116	0.330123	2.632796
117	0.323244	1.664364
118	0.318588	2.169172
119	0.316698	1.868024
120	0.320284	2.939729
121	0.331965	1.958269
122	0.330842	1.921242
123	0.307401	1.359762
124	0.311136	1.967191
125	0.320650	1.745263
126	0.303449	2.230944
127	0.301651	2.175108
128	0.297632	1.724561
129	0.300192	1.529782
130	0.293985	1.525380
131	0.294129	2.127263
132	0.281724	1.557498
133	0.287197	1.848052
134	0.267513	1.732412
135	0.261695	1.625626
136	0.256656	1.591598
137	0.240305	1.299904
138	0.219360	1.379410
139	0.206679	1.200176
140	0.186806	1.064389
141	0.171708	0.954156
142	0.160730	0.834552
143	0.154494	0.772172
144	0.140746	0.663599
145	0.139433	0.769990
146	0.142042	0.730776
147	0.137469	0.865553
148	0.132724	0.760389
149	0.129491	0.791077
150	0.132337	0.740910
151	0.126642	0.825423
152	0.128453	0.702921
153	0.126931	0.634550
154	0.122261	0.553405
155	0.119641	0.489239
156	0.113275	0.543022
157	0.117549	0.577532
158	0.113708	0.403948
159	0.110292	0.648408
160	0.111753	0.485716
161	0.112040	0.489922
162	0.109156	0.534998
163	0.106700	0.565072
164	0.106175	0.443134
165	0.104608	0.506532
166	0.101362	0.512082
167	0.102580	0.527849
168	0.100637	0.420179
169	0.099302	0.449503
170	0.096578	0.369882
171	0.095550	0.422638
172	0.092430	0.471058
173	0.091288	0.520503
174	0.093465	0.427778
175	0.091133	0.398696
176	0.091566	0.449591
177	0.091349	0.389417
178	0.090466	0.419716
179	0.088403	0.386333
180	0.089052	0.394360
181	0.086795	0.383458
182	0.086650	0.414469
183	0.081164	0.340528
184	0.081735	0.336657
185	0.082653	0.357137
186	0.081491	0.349144
187	0.083228	0.299731
188	0.077381	0.311223
189	0.078126	0.333164
190	0.076668	0.383669
191	0.075481	0.316783
192	0.076169	0.329934
193	0.079550	0.324875
194	0.074370	0.347709
195	0.074688	0.317618
196	0.073125	0.289716
197	0.072992	0.299532
198	0.071522	0.266505
199	0.072107	0.293325
200	0.071078	0.292515
201	0.069536	0.309091
202	0.069759	0.258916
203	0.070827	0.260883
204	0.067376	0.276622
205	0.069750	0.260372
206	0.067088	0.249689
207	0.066676	0.245022
208	0.067680	0.280132
209	0.066636	0.234284
210	0.067566	0.257596
211	0.065803	0.237805
212	0.065554	0.252471
213	0.064402	0.236457
214	0.063943	0.234054
