CosineAnnealingLR
lr: 0.0001
epochs: 100
weight_decay: 0.0001
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 32
gpu: 0
max_grad_norm: 0.5
mlp_ratio: 2
dropout: 0.1
slice_num: 32
eval: 0
save_name: RC_Transolver
data_path: ./data
log_name: train_log2.txt

Epoch	Train Loss	Test Error
1	38.987060	45.303073
2	41.011599	44.022716
3	43.177256	43.138185
4	44.095480	42.756669
5	45.612686	42.248466
6	48.628552	41.778822
7	49.859531	41.564554
8	49.847910	41.568212
9	48.955185	43.335699
10	51.406629	41.478643
11	54.759237	41.445039
12	54.578439	41.084634
13	55.474044	41.219926
14	56.960569	41.085527
15	57.801144	41.154889
16	58.194627	41.186350
17	58.485858	41.151010
18	55.295685	41.109884
19	55.226052	41.326988
20	57.958711	41.260825
21	58.214786	41.199628
22	58.847917	41.062355
23	59.921140	41.127993
24	60.848178	40.972007
25	62.742341	41.215019
26	62.139324	41.355476
27	64.301030	41.442505
28	61.959318	41.542812
29	65.891538	41.479935
30	60.403140	41.491994
31	57.468158	41.289446
32	58.737915	41.528864
33	55.134029	41.486013
34	58.912296	41.140480
35	64.501580	41.044577
36	61.386701	41.018404
37	61.582930	41.191188
38	63.148923	41.093773
39	63.970349	41.140580
40	60.943365	41.343450
41	57.938463	41.266154
42	62.710070	41.620969
43	65.737561	41.454922
44	57.181830	41.136129
45	63.934170	41.401615
46	56.106581	41.818299
47	52.054476	41.835562
48	60.012172	41.704181
49	54.645805	42.027177
50	44.860408	41.213892
51	51.180903	41.482390
52	44.659750	41.660345
53	47.361191	41.783103
54	42.455415	42.024156
55	44.941531	41.887495
56	39.060362	41.879172
57	35.307742	42.215412
58	40.712674	42.404857
59	37.955616	42.013486
60	40.729870	41.926029
61	41.550357	42.025416
62	37.264096	41.983831
63	33.130757	42.288423
64	41.002884	42.403842
65	40.759412	42.343743
66	40.415109	42.324239
67	48.994666	41.676985
68	59.819835	41.073638
69	47.731475	41.431694
70	59.741199	41.404374
71	56.505979	42.298550
72	64.935814	41.782852
73	59.181545	41.409319
74	51.757913	41.505932
75	59.368073	41.901670
76	41.822695	41.753999
77	56.486157	40.965555
78	58.059486	42.222150
79	50.699371	42.972183
80	58.311629	41.817171
81	49.505072	41.712709
82	50.349220	41.635252
83	64.265098	42.932584
84	53.992824	42.548595
85	43.243133	41.905699
86	51.322950	41.588867
87	45.183823	41.513604
88	51.525260	42.204393
89	50.679672	42.564133
90	45.032855	41.201399
91	50.232594	42.087011
92	49.620611	43.157326
93	41.325089	42.277429
94	36.546703	42.480530
95	47.807741	42.354426
96	38.239877	43.558538
97	51.795338	43.154715
98	36.342739	43.543537
99	40.124061	43.081016
100	53.404324	43.190452
