CosineAnnealingLR
lr=0.0003,
epochs=100,
weight_decay=5e-05,
model='Transolver_Structured_Mesh_3D',
n_hidden=128,
n_layers=8,
n_heads=8,
batch_size=32,
gpu='0',
max_grad_norm=0.3,
mlp_ratio=2,
dropout=0.3,
slice_num=64,
eval=0,
save_name='RC_Transolver'
data_path: ./data
log_name: train_log3.txt

Epoch	Train Loss	Test Error
1	39.086367	43.267569
2	42.695005	41.967966
3	44.309717	41.543099
4	46.424989	41.300969
5	47.489556	41.806825
6	49.566963	41.348157
7	49.248674	41.232462
8	49.525711	41.317560
9	48.292077	41.355405
10	48.343020	41.321497
11	48.768176	41.299671
12	49.474055	41.288000
13	52.513676	41.241805
14	53.280987	41.394986
15	53.625954	41.652887
16	52.487440	41.650852
17	50.004303	41.294308
18	51.032651	41.516854
19	52.032864	41.170775
20	51.135543	41.241432
