ReduceLROnPlateau
lr: 0.0003
epochs: 100
weight_decay: 5e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 32
gpu: 0
max_grad_norm: 0.3
mlp_ratio: 2
dropout: 0.3
slice_num: 64
eval: 0
save_name: RC_Transolver
data_path: ./data
log_name: train_log4.txt
accuracy_threshold: 0.05
patience: 10

Epoch	Train Loss	Test Error	Test Accuracy	Learning Rate
1	39.463227	42.435174	0.0030	0.00030000
2	44.415525	41.497219	0.0034	0.00030000
3	48.808532	41.641333	0.0042	0.00030000
4	49.882911	41.401565	0.0040	0.00030000
5	49.380636	41.287203	0.0031	0.00030000
6	47.503166	41.818647	0.0051	0.00030000
7	50.615045	41.241639	0.0037	0.00030000
8	48.680879	41.531845	0.0045	0.00030000
9	51.063595	41.786142	0.0056	0.00030000
10	50.029643	41.255199	0.0048	0.00030000
11	52.420994	41.411794	0.0053	0.00030000
12	53.323539	41.589162	0.0061	0.00030000
13	53.617516	41.165673	0.0053	0.00030000
14	52.798935	41.491007	0.0064	0.00030000
15	56.745267	41.798755	0.0068	0.00030000
16	54.869839	41.606442	0.0053	0.00030000
17	54.106357	42.512785	0.0067	0.00030000
18	57.007721	41.257800	0.0059	0.00030000
19	54.152330	41.181401	0.0071	0.00015000
20	54.421025	41.711487	0.0079	0.00015000
21	50.426225	41.548987	0.0048	0.00015000
22	47.475041	41.414055	0.0049	0.00015000
