OneCycleLR
lr: 0.0003
epochs: 500
weight_decay: 5e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 32
gpu: 0
max_grad_norm: 0.3
mlp_ratio: 2
dropout: 0.3
slice_num: 64
eval: 0
save_name: RC_Transolver
data_path: ./data
log_name: train_log5.txt

Epoch	Train Loss	Test Error
1	35.000194	46.372334
2	37.972496	45.554211
3	38.191149	45.022304
4	38.198751	44.640443
5	38.337739	44.296114
6	38.839285	44.068665
7	39.151857	43.844190
8	39.824147	43.666770
9	40.063509	43.253872
10	40.579789	43.037094
11	41.418410	42.918181
12	42.017944	42.700832
13	42.697996	42.388012
14	42.543372	42.177611
15	43.194066	42.022113
16	44.131877	41.929676
17	43.850057	41.776986
18	44.445494	41.743922
19	45.024758	41.792689
20	45.636355	41.591766
21	45.630268	41.702295
22	46.004518	42.224799
23	45.950161	41.625818
24	47.813316	41.894499
25	46.730828	41.589454
26	47.183474	41.758536
27	48.406075	41.496192
28	47.433872	41.699616
29	48.230332	41.556106
30	44.990917	41.366750
31	48.004756	41.628975
32	48.972707	41.856629
33	50.264306	41.897376
34	48.849107	41.744355
35	50.371905	41.696779
36	49.837625	42.127112
37	49.771325	41.698477
38	50.538200	41.438751
39	50.376697	42.382878
40	52.564495	41.711533
41	51.316661	41.381901
42	52.423827	41.498474
43	51.488123	41.587895
44	49.984580	41.396863
45	51.392417	41.523464
46	51.658238	41.658298
47	49.337088	41.796445
48	47.924857	42.262148
49	50.822359	41.481939
50	51.218135	41.403748
51	51.037445	41.737071
52	48.182899	42.532468
53	51.639890	41.716185
