lr: 0.0003
epochs: 300
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 32
gpu: 0
max_grad_norm: 0.3
mlp_ratio: 2
dropout: 0.3
slice_num: 64
eval: 0
resume: 6
save_name: 6
data_path: ./data
log_name: train_log6.txt
resume_name: 6

Epoch	Train Loss	Test Error
1	38535.066120	3607.001982
2	2337.820462	2048.146808
3	1804.420131	1538.985145
4	1565.109246	1234.104071
5	1437.410355	1066.850317
6	1361.933765	956.202747
7	1312.593756	877.517199
8	1281.484829	805.135956
9	1255.070947	918.608537
10	1254.682293	930.490366
11	1252.703407	799.998342
12	1260.654957	826.073589
13	1274.278883	795.985581
14	1283.321107	1028.418577
15	1316.036203	929.362499
16	1332.428362	892.798954
17	1365.751927	1027.288509
18	1396.283332	1052.440223
19	1446.783839	1051.500010
20	1476.602239	1367.279882
21	1516.301535	1234.437537
22	1569.229292	1428.172965
23	1631.358430	1571.495289
24	1685.978917	1472.500776
25	1731.953886	1623.599294
26	1800.709419	1823.312556
27	1855.463868	1994.476787
28	1922.815709	1847.298402
29	1988.551993	1714.592997
30	2059.935047	1796.814912
31	2108.741459	2140.266598
32	2189.732970	2264.031830
33	2220.510468	2302.476689
34	2310.697899	2515.330906
35	2343.949612	2530.183646
36	2387.933178	2560.275013
37	2452.143925	2532.066653
38	2498.974576	2794.722406
39	2523.156395	2718.962566
40	2613.102310	2680.998871
41	2601.183001	2768.789480
42	2688.577352	3156.135316
43	2701.021158	2964.305259
44	2736.003211	2635.847804
45	2762.816603	3073.924106
46	2797.517169	3275.044674
47	2803.917879	3328.055090
48	2836.711571	3429.887573
49	2856.280177	3941.321113
50	2855.631987	3305.057640
51	2926.900699	3238.103108
52	2907.896023	3240.260344
53	2919.481713	3323.772278
54	2927.662222	3121.762458
55	2984.479351	3381.820942
56	2945.374538	4272.502417
57	2933.327384	3295.396532
58	2906.826176	3481.393572
59	2891.355169	3260.352386
60	2898.586840	3337.140961
61	2892.604942	3440.113611
62	2827.146933	3085.129792
63	2800.951507	3371.782148
64	2590.264581	2587.553094
65	1979.512871	1408.848777
66	1525.178597	1056.363174
