OneCycleLR
lr: 0.0003
epochs: 300
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 64
gpu: 0
max_grad_norm: 0.3
mlp_ratio: 2
dropout: 0.0
slice_num: 64
eval: 0
resume: 0
save_name: 7
data_path: ./data
log_name: train_log7.txt
resume_name: 

Epoch	Train Loss	Test Error
1	7.414077	3.111181
2	0.320225	1.609063
3	0.209564	1.180437
4	0.173615	0.990105
5	0.152900	0.875779
6	0.140658	0.785835
7	0.136581	0.757978
8	0.130047	0.710379
9	0.129479	0.702424
10	0.123283	0.735884
11	0.124710	0.693623
12	0.126245	0.756387
13	0.128717	0.851011
14	0.134452	0.721948
15	0.134167	0.770897
16	0.142320	0.821500
17	0.149261	0.831477
18	0.154491	0.910980
19	0.161499	1.035988
20	0.171989	1.160598
21	0.177464	1.178237
22	0.189954	1.161418
23	0.198358	1.241572
24	0.209011	1.315628
25	0.217693	1.123884
26	0.225132	1.321416
27	0.233310	1.560576
28	0.252701	1.573274
29	0.258632	1.637090
30	0.271201	1.485993
31	0.284788	1.479956
32	0.292874	2.104239
33	0.301784	1.913606
34	0.309839	2.487304
35	0.319079	2.173780
36	0.329117	2.124279
37	0.346447	1.996276
38	0.351783	2.908212
39	0.352001	1.956153
40	0.373082	2.310722
41	0.369552	2.373686
42	0.380817	2.329296
43	0.380830	2.137735
44	0.383495	3.155217
45	0.396105	3.155350
46	0.396832	2.205080
47	0.411953	2.827218
48	0.393222	2.533666
49	0.413706	2.975340
50	0.438576	2.539079
51	0.412321	2.803162
52	0.420340	3.538672
53	0.419404	2.533540
54	0.415832	3.275902
55	0.434258	2.099394
56	0.429138	2.916033
57	0.412968	2.390091
58	0.417121	2.729624
59	0.405582	4.086553
60	0.428302	3.051080
61	0.414977	2.658378
62	0.414977	2.533992
63	0.411503	2.568846
64	0.434183	3.311961
65	0.425712	2.322041
66	0.391856	2.560116
67	0.402380	2.520537
68	0.404068	2.085884
69	0.373352	2.860354
70	0.388932	2.270071
71	0.385154	2.784248
72	0.389874	2.775172
73	0.378946	2.586043
74	0.381563	2.124177
75	0.368008	2.132941
76	0.362166	1.745223
77	0.354962	2.264913
78	0.358762	2.167326
79	0.343645	2.019232
80	0.316727	1.727793
81	0.277313	1.868272
82	0.246696	1.195794
83	0.202779	0.947584
84	0.167871	0.965735
85	0.146253	0.674907
86	0.134898	0.599555
87	0.128712	0.753862
88	0.129165	0.634147
89	0.126370	0.640409
90	0.124827	0.559242
91	0.123844	0.534997
92	0.118729	0.724532
93	0.117834	0.616999
94	0.119996	0.580132
95	0.128643	0.761309
96	0.121303	0.681688
97	0.118026	0.464331
98	0.116654	0.574061
99	0.112573	0.740254
100	0.112191	0.549689
101	0.110000	0.527171
102	0.102988	0.490327
103	0.104315	0.470111
104	0.102335	0.509247
105	0.134336	0.737400
106	0.121056	0.575923
107	0.114013	0.643334
108	0.108326	0.586211
109	0.100306	0.432238
110	0.097963	0.473195
111	0.096051	0.377378
112	0.093796	0.435242
113	0.096124	0.459449
114	0.094628	0.398768
115	0.092448	0.415460
116	0.091511	0.362188
117	0.088328	0.421907
118	0.089317	0.380435
119	0.087279	0.401915
120	0.086095	0.363024
121	0.085436	0.405298
122	0.085931	0.373948
123	0.086854	0.327644
124	0.080505	0.368360
125	0.079316	0.341905
126	0.079528	0.362137
127	0.081766	0.327825
128	0.079375	0.323974
129	0.078150	0.337353
130	0.079800	0.299319
131	0.075888	0.370921
132	0.076384	0.299345
133	0.077444	0.319150
134	0.075565	0.334867
135	0.072879	0.310511
136	0.073300	0.299530
137	0.073638	0.252414
138	0.074043	0.300204
139	0.068888	0.282501
140	0.070489	0.296275
141	0.071252	0.251682
142	0.071115	0.249009
143	0.069708	0.299643
144	0.071538	0.264153
145	0.069698	0.307549
146	0.069349	0.253456
147	0.066811	0.273426
148	0.066601	0.269742
149	0.066621	0.261682
150	0.071471	0.241982
151	0.067355	0.272902
152	0.065379	0.237597
153	0.066976	0.266550
154	0.066924	0.264732
155	0.067421	0.242819
156	0.065194	0.257575
157	0.065809	0.222017
158	0.062169	0.235268
159	0.064357	0.236626
160	0.065295	0.232727
161	0.063626	0.238792
162	0.064024	0.229863
163	0.063012	0.230424
164	0.064828	0.235271
165	0.062007	0.236471
166	0.061157	0.221283
167	0.064488	0.235453
168	0.064597	0.223591
169	0.061448	0.219138
170	0.061025	0.225628
171	0.063015	0.208282
172	0.061155	0.218568
173	0.062367	0.219582
174	0.062130	0.216198
175	0.060487	0.212593
176	0.060334	0.218593
177	0.062084	0.201689
178	0.060315	0.213957
179	0.062798	0.213147
180	0.061468	0.205953
181	0.060968	0.210087
182	0.060423	0.209296
183	0.058769	0.203145
184	0.060009	0.204467
185	0.061721	0.202450
186	0.059991	0.200403
187	0.059392	0.205628
188	0.060122	0.201246
189	0.060084	0.202587
190	0.058957	0.203697
191	0.058315	0.202700
192	0.059629	0.203188
193	0.056092	0.200998
194	0.057861	0.200499
195	0.058591	0.199467
196	0.057410	0.198734
197	0.056369	0.199881
198	0.057504	0.197495
199	0.058684	0.194496
200	0.056552	0.200093
201	0.056673	0.195112
202	0.055906	0.198659
203	0.057201	0.193082
204	0.057367	0.196322
205	0.056875	0.198968
206	0.058024	0.192297
207	0.056555	0.190519
208	0.055980	0.185832
209	0.057002	0.184793
210	0.055405	0.184067
211	0.056886	0.184756
212	0.053920	0.180394
213	0.054185	0.181339
214	0.054577	0.180707
215	0.053587	0.185212
216	0.054160	0.165388
217	0.052096	0.165027
218	0.053298	0.157689
219	0.052842	0.160403
220	0.052466	0.158095
221	0.050431	0.258751
222	0.051843	0.152919
223	0.053990	0.152124
224	0.051670	0.147467
225	0.053050	0.166784
226	0.052461	0.148942
227	0.051504	0.149034
228	0.050766	0.150803
229	0.051764	0.144286
230	0.049242	0.144963
231	0.052076	0.147657
232	0.050034	0.142525
233	0.049902	0.149168
234	0.050011	0.140529
235	0.049671	0.140624
236	0.049947	0.164809
237	0.050051	0.139242
238	0.049413	0.138919
239	0.048390	0.138478
240	0.048199	0.138806
241	0.047647	0.136508
242	0.048621	0.136728
243	0.048027	0.136783
244	0.047488	0.138416
245	0.048051	0.142362
246	0.046539	0.135013
247	0.046560	0.134671
248	0.045436	0.133929
249	0.045717	0.132643
250	0.045043	0.131758
251	0.044765	0.131470
252	0.045023	0.133202
253	0.044860	0.130533
254	0.043889	0.130735
255	0.044229	0.131496
256	0.042931	0.128898
257	0.043362	0.130004
258	0.043908	0.129278
259	0.042593	0.127639
260	0.043744	0.130800
261	0.044632	0.126882
262	0.044623	0.126204
263	0.042979	0.127410
264	0.044116	0.126477
265	0.044326	0.125585
266	0.042828	0.127313
267	0.042556	0.124558
268	0.042350	0.126539
269	0.043306	0.124487
270	0.042919	0.125055
271	0.042528	0.124884
272	0.042227	0.124443
273	0.043422	0.123961
274	0.041129	0.124445
275	0.042539	0.124021
276	0.042552	0.123440
277	0.042165	0.123404
278	0.042195	0.123159
279	0.042021	0.123439
280	0.043076	0.123406
281	0.041770	0.122856
282	0.041488	0.122740
283	0.040249	0.123451
284	0.041795	0.123525
285	0.041851	0.123310
286	0.040310	0.123224
287	0.041913	0.122710
288	0.042062	0.122848
289	0.042437	0.122658
290	0.042465	0.122283
291	0.040676	0.122846
292	0.041248	0.122590
293	0.042687	0.122159
294	0.042197	0.122611
295	0.041316	0.122791
296	0.043031	0.122409
297	0.043220	0.122352
298	0.040794	0.122309
299	0.043117	0.122379
300	0.040863	0.122392
