CosineAnnealingLR
lr: 0.0003
epochs: 300
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 64
gpu: 0
max_grad_norm: 0.3
mlp_ratio: 2
dropout: 0.2
slice_num: 64
eval: 0
resume: 0
save_name: 8
data_path: ./data
log_name: train_log8
resume_name: 

Epoch	Train Loss	Test Error
1	1.168854	1.185147
2	0.557438	4.356005
3	0.421568	0.876125
4	0.487576	4.237125
5	0.360341	0.767632
6	0.479996	5.421646
7	0.324016	0.724676
8	0.450008	3.586171
9	0.282358	0.956750
10	0.475642	3.730012
11	0.241197	0.897879
12	0.457086	3.021712
13	0.218484	0.952001
14	0.433441	2.199974
15	0.207141	1.342619
16	0.432003	2.624031
17	0.197134	1.275187
18	0.412653	2.029580
19	0.184328	1.304648
20	0.407841	1.938759
21	0.177864	1.846136
22	0.397237	1.837481
23	0.169308	1.864624
24	0.385092	1.260306
25	0.157234	1.836934
26	0.374244	1.210622
27	0.164299	2.459490
28	0.339974	1.138965
29	0.161928	2.195404
30	0.329022	0.918047
31	0.171491	1.988198
32	0.314408	0.722259
33	0.166513	1.974328
34	0.290017	0.693115
35	0.178626	2.099690
36	0.274315	0.500932
37	0.186153	2.901191
38	0.269879	0.414262
39	0.187319	3.043243
40	0.234436	0.393915
41	0.200398	2.540048
42	0.220559	0.339505
43	0.216536	2.372386
44	0.212461	0.376709
45	0.216937	1.940167
46	0.203206	0.405432
47	0.220541	1.849508
48	0.182743	0.362720
49	0.233410	1.823912
50	0.168141	0.421980
51	0.234931	1.722526
52	0.153932	0.485929
53	0.234134	1.681707
54	0.143652	0.535314
55	0.237736	1.342342
56	0.140776	0.690848
57	0.252035	1.324428
58	0.135346	0.652861
59	0.238409	1.486053
60	0.123879	0.815336
61	0.247693	1.378956
62	0.116200	0.786838
63	0.238870	1.058062
64	0.112273	0.921958
65	0.240772	0.872574
66	0.114149	0.947309
67	0.233636	1.013634
68	0.115247	0.952096
69	0.237275	0.772186
70	0.114550	1.142892
71	0.218990	0.589618
72	0.114795	1.618339
73	0.216834	0.587345
74	0.125367	1.581977
75	0.213438	0.529750
76	0.124505	1.414666
77	0.192159	0.396417
78	0.128717	1.179450
79	0.190564	0.353830
80	0.132656	1.526512
81	0.176243	0.341593
82	0.135683	1.621746
83	0.169784	0.310204
84	0.140757	1.391252
85	0.150566	0.292289
86	0.140415	1.236242
87	0.145438	0.278010
88	0.138956	1.180250
89	0.122231	0.280364
90	0.135483	1.231948
91	0.115818	0.260257
92	0.128194	0.849965
93	0.101902	0.286256
94	0.127336	0.876505
95	0.093170	0.302678
96	0.122633	0.825063
97	0.087243	0.318134
98	0.120600	0.679527
99	0.082752	0.341200
100	0.117844	0.543495
101	0.076610	0.374439
102	0.111986	0.541589
103	0.076138	0.363018
104	0.111388	0.539384
105	0.076016	0.392255
106	0.113302	0.603525
107	0.074641	0.484054
108	0.106904	0.403368
109	0.071597	0.463273
110	0.114259	0.388522
111	0.072574	0.419596
112	0.111133	0.337275
113	0.074205	0.494790
114	0.108102	0.316301
115	0.076901	0.504035
116	0.106992	0.313885
117	0.075966	0.505259
118	0.101798	0.276305
119	0.077756	0.586251
120	0.101322	0.272658
121	0.081175	0.595622
122	0.103466	0.238332
123	0.080252	0.540625
124	0.107868	0.244895
125	0.084187	0.612925
126	0.100069	0.219428
127	0.085210	0.695396
128	0.091901	0.218750
129	0.090690	0.585553
130	0.089271	0.215365
131	0.089992	0.577925
132	0.087038	0.214614
133	0.092264	0.559958
134	0.081683	0.218245
135	0.092476	0.549415
136	0.078860	0.224767
137	0.091675	0.458796
138	0.075270	0.238118
139	0.092840	0.461153
140	0.073866	0.246129
141	0.092945	0.430685
142	0.070637	0.270100
143	0.089998	0.512118
144	0.069736	0.251035
145	0.091074	0.482379
146	0.066763	0.298490
147	0.092540	0.353863
148	0.067418	0.297715
149	0.094895	0.328154
150	0.065983	0.314001
151	0.089245	0.319357
152	0.067723	0.384105
153	0.091703	0.341643
154	0.065274	0.383633
155	0.088080	0.263064
156	0.066183	0.350317
157	0.087719	0.254447
158	0.065827	0.395245
159	0.088374	0.234294
160	0.067618	0.376546
161	0.083572	0.220847
162	0.068210	0.415591
163	0.081271	0.213378
164	0.070567	0.450539
165	0.077571	0.206067
166	0.069006	0.390589
167	0.077567	0.203139
168	0.069529	0.378532
169	0.075732	0.199398
170	0.073302	0.424846
171	0.072790	0.196452
172	0.073605	0.349538
173	0.071437	0.197583
174	0.072434	0.383908
175	0.071296	0.201969
176	0.074325	0.366157
177	0.069074	0.198922
178	0.076190	0.386262
179	0.068732	0.200671
180	0.073598	0.416578
181	0.066096	0.216097
182	0.076838	0.349845
183	0.065412	0.230128
184	0.075766	0.369408
185	0.063466	0.233665
186	0.078568	0.317338
187	0.062953	0.246958
188	0.077174	0.333574
